year,india,south_africa,england,japan,pakistan
1975,8.39,0.87,2.03,296.0,9.99
1976,8.96,0.89,1.79,296.0,9.99
1977,8.74,0.87,1.74,275.0,9.99
1978,8.2,0.85,1.91,210.0,9.99
1979,8.13,0.83,1.98,219.0,10.51
1980,6.61,0.81,2.33,226.0,11.51
1981,8.66,0.89,2.2,220.0,12.95
1982,9.46,0.91,1.78,249.0,14.25
1983,10.1,0.94,1.52,237.0,14.86
1984,11.36,0.96,1.3,237.0,15.15
1985,12.36,0.98,1.3,238.0,15.27
1986,12.61,1.02,1.47,168.0,15.84
1987,12.96,1.08,1.64,144.0,19.78
1988,13.92,1.12,1.78,128.0,21.73
1989,16.23,1.18,1.64,138.0,20.26
1990,17.01,1.25,1.79,144.0,26.0
1991,17.9,1.3,1.77,134.0,25.46
1992,25.92,1.45,1.77,126.0,28.96
1993,31.37,1.6,1.51,111.0,28.73
1994,31.37,1.7,1.53,102.0,30.26
1995,32.43,1.8,1.57,94.0,37.15
1996,35.43,2.0,1.56,108.0,45.02
1997,36.31,2.2,1.64,121.0,43.76
1998,41.26,2.5,1.66,131.0,53.33
1999,43.06,2.8,1.62,113.0,56.34
2000,44.31,3.2,1.52,107.0,62.87
2001,47.19,3.5,1.44,121.0,60.24
2002,48.61,3.8,1.5,125.0,58.13
2003,46.58,4.0,1.63,116.0,58.19
2004,45.32,4.2,1.83,108.0,59.4
2005,43.5,4.5,1.82,110.0,60.35
2006,46.92,5.0,1.84,116.0,60.76
2007,49.32,6.0,2.0,117.0,72.19
2008,43.3,8.0,1.85,103.0,80.39
2009,48.82,8.5,1.56,94.0,85.7
2010,46.02,7.3,1.55,88.0,87.14
2011,44.65,7.0,1.6,79.0,94.02
2012,53.06,8.2,1.58,79.0,102.92
2013,54.78,9.6,1.56,97.0,100.87
2014,60.95,10.8,1.65,105.0,103.05
2015,66.79,12.0,1.53,121.0,104.67
2016,67.63,13.5,1.36,108.0,107.42
2017,64.94,13.0,1.29,112.0,125.16
2018,70.64,14.5,1.34,110.0,150.46
2019,72.15,14.0,1.28,109.0,161.08
2020,74.31,16.5,1.28,107.0,165.67
2021,75.45,14.5,1.38,110.0,207.09
2022,81.62,17.5,1.23,131.5,248.48
2023,85.56,18.5,1.3,140.73,279.33
2024,86.02,17.86,1.3,151.5,279.33
