Age,Experience,EducationLevel,HoursPerWeek,ProjectsCompleted,Salary
56,35,1,46,13,39680.56954791781
46,23,4,21,2,29165.3632723924
32,12,4,24,13,21811.916493250337
25,6,2,48,10,18333.59170630734
38,21,2,56,3,31942.070571645356
56,35,4,57,3,48224.336370869474
36,15,1,38,5,21989.048687362672
40,24,3,27,5,29152.081791556047
28,4,4,20,2,14780.366205087568
28,7,1,41,12,16228.219497917602
41,23,2,36,10,29916.416892218847
53,34,2,26,13,37225.84127372073
57,38,1,44,6,43075.384359603195
41,23,3,23,5,29446.076142173028
20,2,2,55,6,15986.064535497062
39,21,2,25,1,26139.755725429448
19,0,2,50,5,14713.432728124591
41,19,1,38,9,25608.911152956312
47,28,4,58,12,41046.54254228839
55,31,2,46,10,36212.96642884765
19,3,4,29,14,13427.109205720417
38,15,3,45,2,28456.902441159986
50,28,2,38,1,35329.48779460386
29,12,2,58,14,24801.84725378129
39,16,3,22,10,23299.707301291983
42,26,2,32,13,33066.837245541305
44,20,4,47,11,33342.36486666401
59,35,1,39,9,37204.07768143815
45,28,4,47,10,36825.81416530761
33,11,1,27,9,15353.011652710791
32,14,1,58,9,24685.18891386187
20,0,4,20,6,11043.77368065209
54,30,4,22,8,35755.7980783901
24,5,4,32,14,14502.407976487872
38,22,4,47,11,31118.96349800787
26,9,3,44,13,19612.968244070053
56,40,2,52,1,48515.717918569724
35,15,1,57,10,27009.6741679023
21,1,4,25,4,14406.324859337685
42,20,4,51,1,33151.92674618859
31,7,4,40,8,20512.29774665951
26,2,3,35,1,15253.15080921939
43,25,4,40,3,34375.28522359679
19,1,4,30,13,12974.680226561462
37,19,4,56,4,33820.517672083384
45,26,2,55,8,34986.6607187201
24,1,3,54,6,18378.94293772494
25,4,4,38,14,16254.142359536398
52,29,1,39,10,33778.63366689742
31,15,1,37,12,20666.402892478556
34,11,1,33,7,17372.485150837565
53,34,3,34,14,36746.532687662795
57,41,3,50,8,48566.72368828409
21,0,1,20,2,10294.543591641803
19,0,4,22,13,9545.163486217822
23,2,3,35,10,16319.452776324702
59,36,1,42,14,41106.07344927502
21,2,1,30,11,9514.746564053889
46,28,4,31,8,35271.27860977349
35,11,2,29,3,18948.795280223076
43,25,3,51,7,37202.92097051142
51,27,4,35,3,36122.77157828769
27,10,1,27,7,17537.896356883397
53,36,1,57,14,43212.983101570004
31,14,4,31,11,23338.041384359996
48,27,3,43,12,35330.32049597044
32,14,2,47,13,23435.3710905049
25,1,2,27,2,9354.218264790683
31,12,1,47,10,22130.00390033363
40,24,3,55,6,34144.65388746214
57,38,2,45,3,43990.54936245425
38,22,3,27,3,28508.058020646164
33,13,3,47,9,25272.16925543105
35,16,1,47,7,26437.01990931051
41,18,2,56,5,31048.283193674375
43,20,4,55,12,33630.24335470032
42,20,1,46,10,27009.871938854467
58,40,2,36,7,43636.53084640353
46,30,2,28,9,33583.96776133652
32,16,2,52,1,27257.265206235654
18,0,2,39,7,11168.647330123913
42,21,2,32,6,27011.748684607534
24,2,3,47,10,15172.889131676486
26,5,1,48,14,16415.458119093044
41,20,3,32,12,26165.749830809033
18,0,4,54,9,16106.872664313669
25,7,2,25,1,13841.093278960489
41,20,1,37,13,27016.72707493153
28,5,2,24,4,12567.507194414264
34,17,1,44,9,25542.534862747645
25,5,3,21,4,14612.500652093759
52,36,1,29,10,39090.23420922878
52,36,4,49,3,45597.9833016249
50,30,4,24,9,34753.97036578594
22,4,1,52,13,14051.796677093469
59,40,1,20,2,37804.21873721773
56,38,1,37,4,41584.59749829959
58,42,1,51,6,48141.72956960262
45,29,4,30,2,36978.52345022884
24,4,2,40,8,13337.879953096599
26,5,1,45,8,16488.70968436136
25,7,1,44,1,16863.54360271015
29,5,4,41,12,16956.15838055318
51,31,4,46,3,40299.61134917206
50,27,3,32,10,33263.2956421812
40,24,1,52,9,30802.84508144803
41,21,3,53,5,32800.380568918226
54,36,4,54,6,47013.79501200117
52,36,4,20,4,41744.178278243446
57,38,2,40,10,42757.60091349065
39,19,1,25,2,22540.87150180621
44,22,3,47,11,31935.205552029205
52,36,4,36,8,41707.74172605388
18,0,4,24,11,9933.564996704901
52,35,3,50,13,41620.864208325496
54,30,2,24,6,31690.25647317783
31,10,4,57,5,25389.648088273258
20,2,1,22,9,10094.671677369217
18,0,4,42,1,17400.30620209014
22,0,1,56,5,13507.727388033534
43,26,3,56,6,38605.418073143286
31,10,1,29,5,16478.813269901417
56,34,3,29,6,37250.65986868945
44,27,1,38,6,32950.3969037025
26,9,3,36,7,19695.314086795566
32,16,1,40,4,25605.663864230522
32,9,2,33,14,15497.232864732345
43,27,1,28,11,32823.77417672762
59,35,1,20,14,36793.071705187984
30,9,2,32,14,16842.96314611327
49,27,4,23,14,32271.944708925334
56,34,4,20,8,37851.044513131215
49,31,1,59,7,39953.98462167275
21,4,2,51,9,16808.320841704728
47,23,1,53,7,32395.21189621796
54,31,3,47,3,39730.44866335867
40,18,3,50,3,31348.031503362137
56,32,1,27,8,34442.96833942803
32,13,4,58,5,28361.979774876403
46,27,4,45,4,38426.17012102882
53,37,1,53,8,41778.892852439596
30,7,1,22,6,13629.271286599444
49,31,3,31,2,37158.085241364046
24,2,4,20,4,11380.003851594049
39,22,1,24,12,23485.006873503342
45,28,3,49,11,38162.345002941576
19,0,4,49,4,17222.790690350696
59,38,2,36,6,42414.55842963436
23,5,3,42,6,19172.979963117326
45,21,4,34,1,31126.515470356073
45,24,4,56,14,37519.11786578484
37,16,3,40,8,26207.968843453928
47,31,2,33,6,35596.1017811131
28,9,3,21,3,16407.65054044811
45,24,4,30,14,30570.89909012823
42,21,1,58,9,30897.674531554916
56,36,1,57,2,45417.96435831536
50,34,3,53,11,43764.83604116701
18,0,4,57,8,17937.13032445127
44,24,1,53,10,33274.92639020142
30,10,4,37,3,22578.627988113163
58,36,3,49,13,43869.93761110683
20,1,1,34,12,8266.887886987848
56,35,4,46,5,45291.40115733692
23,4,1,53,6,16066.404635110874
25,7,3,57,10,22919.8515338312
44,22,4,52,6,35726.756944475994
26,3,1,43,4,13173.857937344374
54,35,3,34,3,41827.26336909074
50,33,1,49,4,39243.5125207441
59,41,1,36,1,43705.467672353276
41,25,2,24,4,29921.48338765451
32,9,2,48,1,21476.04769023403
49,31,3,23,12,34925.13401607474
49,27,2,29,1,31053.607572582056
41,21,3,36,10,28819.05336051566
58,38,2,29,14,42523.874316326415
29,7,1,36,6,12760.495771197977
56,32,3,39,5,39952.838878979164
19,0,3,43,14,13896.522064256029
20,4,1,24,11,9301.1624337857
54,38,3,53,4,46569.4775692278
34,17,3,25,13,22543.782842056655
19,0,2,21,11,10078.647169193331
19,0,3,32,3,13023.411986452906
45,22,4,30,1,31979.760719495727
40,20,1,42,6,27364.469412657396
54,38,2,35,2,43775.34779791938
49,27,2,50,8,35627.3312448034
50,30,4,30,10,37895.492972241555
18,0,1,35,5,9692.55942405751
36,14,1,27,7,18924.680391548143
19,1,2,23,10,11217.532767055794
43,25,3,59,12,36755.40322181982
49,29,2,23,2,32127.782592481388
23,2,1,44,13,11429.625733535531
49,25,4,22,8,30469.704261303268
21,1,2,51,2,16129.199348143076
28,12,1,22,4,17436.920057277093
34,15,2,46,1,27950.20256047233
